temp,wind,humid,snow
2,4.6,60,12.8
0.8,4.6,63,12.5
0.6,3.5,62,12.5
-0.5,3.2,67,12.5
-1.7,2.8,70,12.5
-2.1,0.8,71,12.5
-2.6,1,77,12.5
-2.9,1.9,78,12.5
-2.9,1.2,78,12.5
-3.3,1.5,77,12.5
-3.8,2.2,79,0
-3.6,0.9,77,0
-3.9,1.3,79,12.5
-3.7,2.3,78,12.5
-3.6,1.7,78,12.5
-3.6,1.1,79,12.5
-3.2,2.7,78,12.5
-2.9,2.9,74,12.5
-2.3,3.6,71,12.5
-1.5,3,68,12.5
-0.6,3.4,66,12.5
0.2,3.1,62,12.4
1.4,3.8,58,12.2
2.4,3.8,55,12.1
2.6,2.4,55,12
2.5,2.2,64,12
2.1,2.1,75,12
1.1,2.4,87,12.3
0.7,2.4,91,12.8
0.7,3.2,91,12.8
0.7,0.7,91,12.8
0.6,1.2,92,12.8
0.2,2.7,92,13
0.2,2.5,92,13.5
0,2.1,92,14
-0.3,3.5,93,14.5
-0.5,2.9,93,15
-0.9,3.6,93,15.1
-1.2,4.1,92,15.1
-1.4,2.1,90,15.1
-1.9,3.1,90,15.1
-2.6,4.5,82,15.1
-2.6,2,80,15.1
-2.5,3.3,72,15
-1.6,3.6,71,15
-0.7,2.9,68,14.9
-0.5,4.6,69,14.5
-0.9,3.9,68,13.8
-0.6,2.9,67,13.5
-0.7,4,62,13.3
-1.1,4.3,63,13
-1.5,3,62,12.9
-1.9,2.2,66,12.9
-1.7,3.3,69,0
-1.8,3,70,12.9
-2.2,3.2,71,0
-2.7,4.1,69,0
-2.9,2.7,70,12.9
-2.7,2.9,69,12.9
-3.5,6.2,74,12.9
-5.4,5.6,49,12.9
-6.6,4.4,35,12.9
-8.7,6.2,36,12.9
-10.7,5.9,45,12.9
-11.8,6.9,41,12.9
-12.6,5.2,47,12.9
-12.4,5.3,43,12.9
-12.4,5.6,39,12.9
-12.3,7,35,12.9
-11.5,5.5,34,12.9
-10.8,5.9,32,12.9
-9.6,4.8,32,12.7
-10.1,5.5,33,12.7
-10.1,6.5,32,12.7
-10.5,4.9,31,12.7
-11.5,6.2,39,12.7
-12.5,6.3,44,12.7
-13.2,5.9,49,12.7
-13.7,5.1,50,12.7
-13.7,5.3,48,12.7
-13.6,4.2,46,12.7
-13.6,4.4,47,12.7
-13.8,3.6,46,12.7
-14.1,1.8,45,12.7
-14.5,2.2,40,12.7
-14.8,3.1,41,12.7
-15,2.5,39,12.7
-15.3,3.3,39,12.7
-15.6,1.2,39,12.7
-15.5,1.4,40,12.7
-14.6,1,34,12.7
-12.5,2.1,32,12.7
-11.4,1.9,31,12.7
-9.5,3,32,12.7
-7.9,1.8,28,12.7
-7.5,3.6,31,12.7
-6.8,3.3,27,12.6
-6.6,3.2,33,12.5
-7.7,4.4,37,12.5
-8.9,3,40,12.5
-9.9,4.3,46,12.5
-10.4,3.3,51,0
-10.8,1.9,50,12.5
-10.8,2.5,48,0
-10.9,2.8,54,0
-11.3,0.6,52,12.5
-11.2,0.9,54,12.5
-11.4,1,57,12.5
-11.6,1.3,60,12.5
-11.7,1.2,62,12.5
-12,0.7,64,12.5
-12.1,3.3,65,12.5
-12.1,2.9,66,12.5
-11.8,2.1,62,12.5
-10.5,2.5,57,12.5
-8.3,2.2,45,12.5
-6.1,0.9,42,12.5
-5.5,1,46,12.5
-4.8,2.3,46,12.5
-3.9,2.1,41,12.4
-3.4,2.7,40,12.3
-3.3,2.5,44,12.2
-3.2,2.4,44,12.2
-4.5,1.6,49,12.2
-4.9,2,51,12.2
-5.4,2.3,60,12.2
-5.5,1.6,63,12.2
-5.5,0.2,64,12.2
-5.1,0.5,64,12.2
-4.9,1,64,12.2
-4.7,0.7,60,12.2
-4.3,0.5,60,12.2
-4,1.3,64,12.2
-4.3,1.8,66,12.2
-4.8,0.5,81,12.7
-4.5,2.1,85,13.4
-4.9,1.1,85,13.4
-5,0.6,86,13.4
-4.5,0.3,84,13.4
-2.9,2.7,75,13.4
-1.9,4.2,67,12.7
-1.2,3.1,55,12.2
-1,5.1,41,12
-0.7,5.1,35,11.8
-0.9,5.7,35,11.6
-1.1,4.8,32,11.4
-1.9,4.3,35,11.3
-3.1,5.4,36,11.3
-3.9,4,40,0
-4.5,2.1,40,0
-5.3,3.5,42,11.3
-6.5,4,38,0
-8,3,51,0
-8.4,4.9,52,11.3
-8.6,3.6,51,0
-9,1.7,54,0
-9.3,2,55,11.3
-9.5,2.1,54,11.3
-9.7,1.9,56,11.3
-9.8,2,55,11.3
-10.4,0.9,59,11.3
-10.3,0.7,62,11.3
-9,1.3,51,11.3
-7.1,1.5,45,11.3
-5.6,1.7,38,11.2
-4.4,1.4,33,11.1
-2.9,2,33,11
-2,3.1,31,10.8
-1.7,2.8,29,10.6
-1,2,26,10.4
-2.1,2.2,28,10.3
-3.4,3.3,31,10.3
-4.1,2.4,34,0
-4.5,2.6,39,0
-4.6,2.8,38,10.3
-4.7,1.8,40,0
-4.8,1.9,42,0
-4.6,0.7,42,10.3
-4.6,0.6,47,0
-4.4,2.4,45,0
-4.5,1.4,47,10.3
-4.4,1.4,48,10.3
-4.5,2.1,45,10.3
-4.5,2.1,47,10.3
-4.4,0.6,42,10.3
-4.8,2.4,52,10.3
-3.7,1.9,45,10.3
-2.7,1.7,45,10.3
-2.9,3,41,10.3
-2.8,4,40,10.2
-2.6,1,34,10.2
-2.2,4.7,34,10.2
-2.5,3.9,54,10
-2.7,3.8,59,10
